Provincia;Sigla;Latitudine;Longitudine
Agrigento;AG;37.18 N;13.36 E
Alessandria;AL;44.55 N;08.37 E
Ancona;AN;43.37 N;13.31 E
Aosta;AO;45.44 N;07.19 E
Arezzo;AR;43.28 N;11.53 E
Ascoli Piceno;AP;42.51 N;13.34 E
Asti;AT;44.53 N;08.12 E
Avellino;AV;40.55 N;14.47 E
Bari;BA;41.07 N;16.53 E
Belluno;BL;46.08 N;12.13 E
Benevento;BN;41.08 N;14.46 E
Bergamo;BG;45.42 N;09.40 E
Biella;BI;45.34 N;08.03 E
Bologna;BO;44.30 N;11.21 E
Bolzano;BZ;46.30 N;11.20 E
Brescia;BS;45.32 n;10.12 E
Brindisi;BR;40.39 N;17.56 E
Cagliari;CA;39.13 N;09.07 E
Caltanissetta;Cl;37.29 N;14.04 E
Campobasso;CB;41.34 N;14.39 E
Caserta;CE;41.04 N;14.19 E
Catania;CT;37.30 N;15.05 E
Catanzaro;CZ;38.54 N;16.35 E
Chieti;CH;42.21 N;14.10 E
Como;Co;45.48 N;09.05 E
Cosenza;CS;39.17 N;16.15 E
Cremona;CR;45.08 N;10.02 E
Crotone;KR;39.05 N;17.08 E
Cuneo;CN;44.24 N;07.33 E
Enna;EN;37.34 N;14.16 E
Ferrara;FE;44.50 N;11.38 E
Firenza;FI;43.46 N;11.15 E
Foggia;FG;41.28 N;15.33 E
Forlì;FO;44.13 N;12.03 E
Frosinone;FR;41.38 N;13.22 E
Genova;GE;44.25 N;08.55 E
Gorizia;GO;45.57 N;13.38 E
Grosseto;GR;42.46 N;11.07 E
Imperia;IM;43.53 N;08.01 E
Isernia;IS;41.36 N;14.14 E
L'Aquila;AQ;42.21 N;13.24 E
La Spezia;SP;44.07 N;09.50 E
Latina;LT;41.28 N;12.53 E
Lecce;LE;40.21 N;18.11 E
Lecco;LC;45.51 N;09.23 E
Livorno;LI;43.33 N;10.19 E
Lodi;LO;45.19 N;09.30 E
Lucca;LU;43.51 N;10.31 E
Macerata;MC;43.18 N;13.27 E
Mantova;MN;45.09 N;10.47 E
Massa;MS;44.20 N;10.05 E
Matera;MT;40.41 N;16.36 E
Messina;ME;38.11 N;15.34 E
MIlano;MI;45.28 N;09.11 E
Modena;MO;44.39 N;10.55 E
Napoli;NA;40.21 N;14.15 E
Novara;NO;45.27 N;08.38 E
Nuoro;NU;40.19 N;09.16 E
Oristano;OR;39.54 N;08.36 E
Padova;PD;45.24 N;11.53 E
Palermo;PA;38.07 N;13.21 E
Parma;PR;44.48 N;10.21 E
Pavia;PV;45.11 N;09.10 E
Perugia;PG;43.07 N;12.24 E
Pesaro;PS;43.54 N;12.55 E
Pescara;PE;42.27 N;14.13 E
Piacenza;PC;45.03 N;09.41 E
Pisa;PI;43.43 N;10.24 E
Pistoia;PT;43.56 N;10.55 E
Pordenone;PN;45.57 N;12.39 E
Potenza;PZ;40.38 N;15.49 E
Prato;PO;43.53 N;-11.06 E
Ragusa;RG;36.56 N;-14.44 E
Ravenna;RA;44.25 N;12.12 E
Reggio Calabria;RC;38.06 N;15.39 E
Reggio Emilia;RE;44.42 N;10.38 E
Rieti;RI;42.22 N;12.52 E
Rimini;RN;44.04 N;12.34 E
Roma;Roma;41.54 N;12.29 E
Rovigo;RO;45.04 N;11.48 E
Salerno;SA;40.41 N;14.46 E
Sassari;SA;40.43 N;08.34 E
Savona;SV;44.19 N;08.28 E
Siena;SI;43.19 N;11.18 E
Siracusa;SR;37.04 N;15.17 E
Sondrio;SO;46.11 N;09.53 E
Taranto;TA;40.28 N;17.14 E
Teramo;TE;42.40 N;13.43 E
Terni;TR;42.34 N;12.40 E
Torino;TO;45.04 N;07.42 E
Trapani;TP;38.01 N;12.32 E
Trento;TN;46.04 N;11.08 E
Treviso;TV;45.40 N;12.15 E
Trieste;TS;45.39 N;13.46 E
Udine;UD;46.04 N;13.14 E
Varese;VA;45.50 N;08.49 E
Venezia;VE;45.26 N;12.21 E
Verbania;VB;45.56 N;08.33 E
Vercelli;VC;45.20 N;08.25 E
Verona;VR;45.27 N;11.00 E
Vibo Valentia;VV;38.40 N;16.06 E
Vicenza;VI;45.33 N;11.33 E
Viterbo;VT;42.33 N;12.07 E
